,ID,оквэд,расшифровка оквэд,Отрасль,Субъект,Округ,текущая стоимость бизнеса,ликвидационная стоимость бизнеса,расчёт возвратности средств для кредиторов,потребность в оборотных средствах,прибыль до налогообложения,задолженность по налогам,исполнительное производство без учета налогов,Лимит поручительства,ранг платёжеспособности,возраст организации,возбуждено производство по делу о несостоятельности (банкротстве),иностранные лица в органах управления (соучредители/руководители/участники) из недружественных юрисдикций,увольнение сотрудников (снижение среднесписочной численности),"привлечение к субсидиарной ответственности, взысканию убытков",наличие долга по платежам в бюджет,проводится выездная налоговая проверка,наличие информации о недостоверности сведений,директор или учредитель – дисквалифицированное лицо,наличие приостановления операций по счетам,динамика выручки по сравнению с предыдущим отчетным периодом (квартал),динамика совокупных активов,публикация в ефрсдюл о намерении обратиться в суд о признании лица банкротом кредитором,публикация в ефрсдюл о намерении обратиться в суд о признании лица банкротом должником,доля вычетов по ндс более 89%.,отклонение показателя налоговой нагрузки от среднеотраслевого показателя,коэффициент долга по 44-фз,коэффициент финансового рычага,налоговые разрывы 1 звена с покупателями и продавцами / выручка за 4 предыдущих квартала,налоговый долг/доход по налоговой декларации,отношение неоплаченной суммы по исполнительному производству (без налогов) и долга по налогам к выручке за предшествующие 12 месяцев,налоговые разрывы 2 звена с покупателями и продавцами / выручка за 4 предыдущих квартала,введена процедура банкротства/ликвидация,отсутствие расчетных счетов,"доля стоимости регистрируемого имущества в залоге от всего регистрируемого имущества составляет менее 0,5",рост доли стоимости залогового имущества за 6 месяцев,рост стоимости регистрируемого имущества по отношении к данным на 6 месяцев назад,лица в органах управления ранее привлечены к субсидиарной ответственности (взысканы убытки),расчеты через третьих лиц по отношению к выручке,изменение доли прибыли в выручке с начала текущего года по сравнению с аналогичным периодом прошлого года,коэффициент верификации кредиторской задолженности в бухгалтерской отчетности,коэффициент верификации данных основных средств в бухгалтерской отчетности,коэффициент верификации данных о выручке в бухгалтерской отчетности,коэффициент верификации данных о залогах в бухгалтерской отчетности,коэффициент обеспеченности собственным капиталом,коэффициент рентабельности активов,коэффициент покрытия процентов,коэффициент платежеспособности,коэффициент текущей ликвидности,46 нк рф > 3 месяцев
9579,1000010145,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур","Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Республика Марий-Эл,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,36765158.63,4019959.01,0.19,6521666.67,9853000.0,0.0,0.0,12677640.906896554,70.18124027353893,0.8086823758352112,0.0,0.0,0.5613773961638217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190160505434645,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
9580,1000010146,43.21,Производство электромонтажных работ,Работы строительные специализированные,Московская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,0.0,0.0,4125.59,0.0,0.0,12376.77,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,0.0,1.850697686571583,-4.528468736257782,0.0,0.0
9581,1000010147,20.30,"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",Производство химических веществ и химических продуктов,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,9670728.6,1763728.6,0.18,2241640.33,0.0,0.0,0.0,3334734.0,50.399959483827686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1042685244517596,0.0,0.0,0.0,-2.6429645709531853,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,2.005739415471644,0.0,0.0,0.0,0.0,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
9582,1000010148,38.32.53,Утилизация отходов и лома пластмасс во вторичное сырье,"Сбор, обработка и утилизация отходов; обработка вторичного сырья",Московская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,0.0,0.0,196.07,0.0,588.21,0.0,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,0.0,0.0,-2.646302030096681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,0.0,1.850697686571583,0.0,0.0,0.0
9583,1000010149,41.20,Строительство жилых и нежилых зданий,Строительство зданий,город Москва,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,18294264.3,384264.3,0.02,4964074.0,610000.0,0.0,0.0,6308367.0,61.86204980589102,0.8086823758352112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1042685244517596,0.0,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
9584,1000010150,45.20,Техническое обслуживание и ремонт автотранспортных средств,Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,Нижегородская область,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,208916.3,207673.2,0.07,821178.0,0.0,10.9,0.0,не может быть поручителем,5.550763518054822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8240556519999087,0.0,-2.8293203023928752,1.1042685244517596,0.0,0.0,0.0,-2.6429645709531853,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,2.2814506678337785,1.850697686571583,0.0,-4.59145224664486,0.0
9585,1000010151,10.39,Прочие виды переработки и консервирования фруктов и овощей,Производство пищевых продуктов,Брянская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,6461941.3,648141.3,0.37,0.0,3577000.0,0.0,0.0,2228255.620689655,50.91544902599166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1042685244517596,2.190160505434645,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
9586,1000010152,01.13.1,Выращивание овощей,"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Красноярский край,СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,не может быть поручителем,2.005051737364961,0.8086823758352112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190160505434645,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,2.2814506678337785,1.850697686571583,0.0,0.0,0.0
9587,1000010153,41.2,Строительство жилых и нежилых зданий,Строительство зданий,Рязанская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,30505794.81,278189.1,0.01,11676666.67,0.0,28765.66,1508628.63,10519239.589655172,54.19839164189723,0.8086823758352112,0.0,0.0,0.0,0.0,-2.646302030096681,0.0,-1.8240556519999087,0.0,-2.8293203023928752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,2.2814506678337785,1.850697686571583,-4.528468736257782,-4.59145224664486,-3.196900622640974
9588,1000010155,42.13,Строительство мостов и тоннелей,Строительство инженерных сооружений,город Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,50109956.26,18927793.5,0.06,95100695.33,1911000.0,1624837.24,0.0,17279295.262068965,49.44379235094095,0.8086823758352112,0.0,0.0,-0.9502469412940634,0.0,-2.646302030096681,0.0,-1.8240556519999087,0.0,0.0,-2.3252280164928223,2.190160505434645,0.0,0.0,-2.6429645709531853,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,1.172736024440367,0.0,0.0,0.0,0.0,0.0,-3.117088918400753,-2.580589165577194,-4.528468736257782,-4.59145224664486,0.0
